obsnme,obsval,weight,obgnme,extra,standard_deviation
wq2_t_35,26.6,1.923076923076923,temp_2,,0.52
wq2_t_36,24.3,1.923076923076923,temp_2,,0.52
wq2_t_37,24.3,1.923076923076923,temp_2,,0.52
wq2_t_38,24.9,1.923076923076923,temp_2,,0.52
wq2_t_39,26.5,1.923076923076923,temp_2,,0.52
wq2_t_40,23.8,1.923076923076923,temp_2,,0.52
wq2_t_41,21.3,1.923076923076923,temp_2,,0.52
wq2_t_42,19.5,1.923076923076923,temp_2,,0.52
wq2_t_43,20.9,1.923076923076923,temp_2,,0.52
wq2_t_44,22.4,1.923076923076923,temp_2,,0.52
wq2_t_45,20.7,1.923076923076923,temp_2,,0.52
wq2_t_46,13.8,1.923076923076923,temp_2,,0.52
wq2_t_47,2.8,1.923076923076923,temp_2,,0.52
wq2_t_48,6.1,1.923076923076923,temp_2,,0.52
wq2_t_49,6.8,1.923076923076923,temp_2,,0.52
wq2_t_50,10.1,1.923076923076923,temp_2,,0.52
wq2_t_51,9.7,1.923076923076923,temp_2,,0.52
wq2_t_52,13.0031,1.923076923076923,temp_2,,0.52
wq2_t_53,12.0929,1.923076923076923,temp_2,,0.52
wq2_t_54,14.5657,1.923076923076923,temp_2,,0.52
wq2_t_55,15.309,1.923076923076923,temp_2,,0.52
wq2_t_56,16.23,1.923076923076923,temp_2,,0.52
wq2_t_57,18.6709,1.923076923076923,temp_2,,0.52
wq2_t_58,18.5294,1.923076923076923,temp_2,,0.52
wq2_t_59,18.3273,1.923076923076923,temp_2,,0.52
wq2_t_60,17.8,1.923076923076923,temp_2,,0.52
wq2_t_61,17.3756,1.923076923076923,temp_2,,0.52
wq2_t_62,17.9244,1.923076923076923,temp_2,,0.52
wq2_t_63,18.1587,1.923076923076923,temp_2,,0.52
wq2_t_64,19.0698,1.923076923076923,temp_2,,0.52
wq2_t_65,19.5111,1.923076923076923,temp_2,,0.52
wq2_t_66,19.9714,1.923076923076923,temp_2,,0.52
wq2_t_67,19.2105,1.923076923076923,temp_2,,0.52
wq2_t_68,21.0731,1.923076923076923,temp_2,,0.52
wq2_t_69,21.3279,1.923076923076923,temp_2,,0.52
wq2_t_70,22.1904,1.923076923076923,temp_2,,0.52
wq2_t_71,21.5672,1.923076923076923,temp_2,,0.52
wq2_t_72,22.3412,1.923076923076923,temp_2,,0.52
wq2_t_73,23.3335,1.923076923076923,temp_2,,0.52
wq2_t_74,23.366,1.923076923076923,temp_2,,0.52
wq2_t_75,24.402,1.923076923076923,temp_2,,0.52
wq2_t_76,24.2766,1.923076923076923,temp_2,,0.52
wq2_t_77,25.037,1.923076923076923,temp_2,,0.52
wq2_t_78,23.3636,1.923076923076923,temp_2,,0.52
wq2_t_79,24.8,1.923076923076923,temp_2,,0.52
wq2_t_80,23.7597,1.923076923076923,temp_2,,0.52
wq2_t_81,23.7704,1.923076923076923,temp_2,,0.52
wq2_t_82,26.2,1.923076923076923,temp_2,,0.52
wq2_t_83,25.066,1.923076923076923,temp_2,,0.52
wq2_t_84,24.688,1.923076923076923,temp_2,,0.52
wq2_t_85,23.5643,1.923076923076923,temp_2,,0.52
wq2_t_86,23.6773,1.923076923076923,temp_2,,0.52
wq2_t_87,24.592,1.923076923076923,temp_2,,0.52
wq2_t_88,25.3733,1.923076923076923,temp_2,,0.52
wq2_t_89,23.4408,1.923076923076923,temp_2,,0.52
wq2_t_90,22.3991,1.923076923076923,temp_2,,0.52
wq2_t_91,22.9537,1.923076923076923,temp_2,,0.52
wq2_t_92,22.0182,1.923076923076923,temp_2,,0.52
wq2_t_93,20.6061,1.923076923076923,temp_2,,0.52
wq2_t_94,22.4168,1.923076923076923,temp_2,,0.52
wq2_t_95,17.2208,1.923076923076923,temp_2,,0.52
wq2_t_96,15.8211,1.923076923076923,temp_2,,0.52
wq2_t_97,15.3,1.923076923076923,temp_2,,0.52
wq2_t_98,14.3723,1.923076923076923,temp_2,,0.52
wq2_t_99,12.0219,1.923076923076923,temp_2,,0.52
wq2_t_100,12.3447,1.923076923076923,temp_2,,0.52
wq2_t_101,12.609,1.923076923076923,temp_2,,0.52
wq2_t_102,8.0912,1.923076923076923,temp_2,,0.52
wq2_t_103,2.4,1.923076923076923,temp_2,,0.52
wq2_t_104,4.6749,1.923076923076923,temp_2,,0.52
wq2_t_105,8.5,1.923076923076923,temp_2,,0.52
wq2_t_106,10.9,1.923076923076923,temp_2,,0.52
wq2_t_107,20.0,1.923076923076923,temp_2,,0.52
wq2_t_108,19.7,1.923076923076923,temp_2,,0.52
wq2_t_109,19.8,1.923076923076923,temp_2,,0.52
wq2_t_110,23.7,1.923076923076923,temp_2,,0.52
wq2_t_111,21.871,1.923076923076923,temp_2,,0.52
wq2_t_112,20.7942,1.923076923076923,temp_2,,0.52
wq2_t_113,20.3919,1.923076923076923,temp_2,,0.52
wq2_t_114,20.538,1.923076923076923,temp_2,,0.52
wq2_t_115,20.5326,1.923076923076923,temp_2,,0.52
wq2_t_116,21.0123,1.923076923076923,temp_2,,0.52
wq2_t_117,21.712,1.923076923076923,temp_2,,0.52
wq2_t_118,22.1279,1.923076923076923,temp_2,,0.52
wq2_t_119,23.0239,1.923076923076923,temp_2,,0.52
wq2_t_120,26.0319,1.923076923076923,temp_2,,0.52
wq2_t_121,23.2813,1.923076923076923,temp_2,,0.52
wq2_t_122,24.9812,1.923076923076923,temp_2,,0.52
wq2_t_123,25.0011,1.923076923076923,temp_2,,0.52
wq2_t_124,24.8489,1.923076923076923,temp_2,,0.52
wq2_t_125,24.7667,1.923076923076923,temp_2,,0.52
wq2_t_126,24.2923,1.923076923076923,temp_2,,0.52
wq2_t_127,24.096,1.923076923076923,temp_2,,0.52
wq2_t_128,23.4238,1.923076923076923,temp_2,,0.52
wq2_t_129,14.6981,1.923076923076923,temp_2,,0.52
wq2_t_130,14.4917,1.923076923076923,temp_2,,0.52
wq2_t_131,14.1011,1.923076923076923,temp_2,,0.52
wq2_t_132,14.2236,1.923076923076923,temp_2,,0.52
wq2_t_133,14.4307,1.923076923076923,temp_2,,0.52
wq2_t_134,12.6191,1.923076923076923,temp_2,,0.52
wq2_t_135,7.8514,1.923076923076923,temp_2,,0.52
